run_key,tool,tool_version,hostname,hostname_source,started_at,finished_at,duration_s,cwe_count,tp,fp,unknown,files,finding_count,precision_pct,tp_rate_pct,source_file
clangtidy_20260404_101202,clangtidy,clang-tidy LLVM version 21.1.6,r720,attributed,2026-04-04T14:10:49.009553+00:00,2026-04-04T14:12:02.242845+00:00,73.2,1,198,0,12,372,210,100.0,94.3,clangtidy_20260404_101202.json
clangtidy_20260404_115112,clangtidy,clang-tidy LLVM version 21.1.6,r720,attributed,2026-04-04T14:12:08.311458+00:00,2026-04-04T15:51:12.646913+00:00,5944.3,16,13952,116,1170,28488,15238,99.2,91.6,clangtidy_20260404_115112.json
clangtidy_20260904_160155,clangtidy,clang-tidy Ubuntu LLVM version 21.1.8,dev-921,attributed,2026-09-04T15:38:42.669699+00:00,2026-09-04T16:01:55.551954+00:00,1392.9,16,13952,116,1170,28488,15238,99.2,91.6,clangtidy_20260904_160155.json
cppcheck_20260404_101044,cppcheck,Cppcheck 2.10,r720,attributed,2026-04-04T14:10:34.398103+00:00,2026-04-04T14:10:44.202028+00:00,9.8,1,483,735,0,372,1218,39.7,39.7,cppcheck_20260404_101044.json
cppcheck_20260404_102702,cppcheck,Cppcheck 2.10,r720,attributed,2026-04-04T14:12:07.860728+00:00,2026-04-04T14:27:02.402611+00:00,894.5,16,29377,51361,75,28488,80813,36.4,36.4,cppcheck_20260404_102702.json
cppcheck_20260904_153728,cppcheck,Cppcheck 2.13.0,dev-921,attributed,2026-09-04T15:31:39.074581+00:00,2026-09-04T15:37:28.750057+00:00,349.7,16,34286,59221,76,28488,93583,36.7,36.6,cppcheck_20260904_153728.json
framac_20260403_145326,framac,Frama-C 32.0 (Germanium),r720,attributed,2026-04-03T18:45:38.848587+00:00,2026-04-03T18:53:26.365609+00:00,467.5,1,373,208,0,204,581,64.2,64.2,framac_20260403_145326.json
framac_20260403_222053,framac,Frama-C 32.0 (Germanium),r720,attributed,2026-04-03T23:35:39.756808+00:00,2026-04-04T02:20:53.325375+00:00,9913.6,6,8609,5510,0,5430,14119,61.0,61.0,framac_20260403_222053.json
framac_20260904_150312,framac,Frama-C 33.0 (Arsenic),dev-921,attributed,2026-09-04T14:05:49.418646+00:00,2026-09-04T15:03:12.429138+00:00,3443.0,6,8609,5510,0,5430,14119,61.0,61.0,framac_20260904_150312.json
infer_20260403_144450,infer,Infer version v1.2.0,r720,attributed,2026-04-03T18:43:04.714859+00:00,2026-04-03T18:44:50.512490+00:00,105.8,1,242,124,0,372,366,66.1,66.1,infer_20260403_144450.json
infer_20260403_164943,infer,Infer version v1.2.0,r720,attributed,2026-04-03T19:26:04.398612+00:00,2026-04-03T20:49:43.779512+00:00,5019.4,11,4971,6428,0,17232,11399,43.6,43.6,infer_20260403_164943.json
infer_20260904_153139,infer,Infer version v1.2.0,dev-921,attributed,2026-09-04T15:03:12.506605+00:00,2026-09-04T15:31:39.026134+00:00,1706.5,11,4971,6428,0,17232,11399,43.6,43.6,infer_20260904_153139.json
